"Badlands","恶地"
"Mangrove Sign","红树木告示牌"
"Mangrove Slab","红树木台阶"
"Mangrove Stairs","红树木楼梯"
"Mangrove Trapdoor","红树木活板门"
"Mangrove Wall Hanging Sign","墙上的悬挂式红树木告示牌"
"Mangrove Wall Sign","墙上的红树木告示牌"
"Mangrove Wood","红树木"
"Medium Amethyst Bud","中型紫晶芽"
"Melon","西瓜"
"Melon Stem","西瓜茎"
"Moss Block","苔藓块"
"Moss Carpet","覆地苔藓"
"Mossy Cobblestone","苔石"
"Mossy Cobblestone Slab","苔石台阶"
"Mossy Cobblestone Stairs","苔石楼梯"
"Mossy Cobblestone Wall","苔石墙"
"Mossy Stone Brick Slab","苔石砖台阶"
"Mossy Stone Brick Stairs","苔石砖楼梯"
"Mossy Stone Brick Wall","苔石砖墙"
"Mossy Stone Bricks","苔石砖"
"Moving Piston","移动的活塞"
"Mud","泥巴"
"Mud Brick Slab","泥砖台阶"
"Mud Brick Stairs","泥砖楼梯"
"Mud Brick Wall","泥砖墙"
"Mud Bricks","泥砖"
"Muddy Mangrove Roots","沾泥的红树根"
"Mushroom Stem","蘑菇柄"
"Mycelium","菌丝体"
"Nether Brick Fence","下界砖栅栏"
"Nether Brick Slab","下界砖台阶"
"Nether Brick Stairs","下界砖楼梯"
"Nether Brick Wall","下界砖墙"
"Nether Bricks","下界砖块"
"Nether Gold Ore","下界金矿石"
"Nether Portal","下界传送门"
"Nether Quartz Ore","下界石英矿石"
"Nether Sprouts","下界苗"
"Nether Wart","下界疣"
"Nether Wart Block","下界疣块"
"Block of Netherite","下界合金块"
"Netherrack","下界岩"
"Note Block","音符盒"
"Oak Button","橡木按钮"
"Oak Door","橡木门"
"Oak Fence","橡木栅栏"
"Oak Fence Gate","橡木栅栏门"
"Oak Hanging Sign","悬挂式橡木告示牌"
"Oak Leaves","橡树树叶"
"Oak Log","橡木原木"
"Oak Planks","橡木木板"
"Oak Pressure Plate","橡木压力板"
"Oak Sapling","橡树树苗"
"Oak Sign","橡木告示牌"
"Oak Slab","橡木台阶"
"Oak Stairs","橡木楼梯"
"Oak Trapdoor","橡木活板门"
"Oak Wall Hanging Sign","墙上的悬挂式橡木告示牌"
"Oak Wall Sign","墙上的橡木告示牌"
"Oak Wood","橡木"
"Observer","侦测器"
"Obsidian","黑曜石"
"Ochre Froglight","赭黄蛙明灯"
"Ominous Banner","不祥旗帜"
"Open Eyeblossom","张开的眼眸花"
"Orange Banner","橙色旗帜"
"Orange Bed","橙色床"
"Orange Candle","橙色蜡烛"
"Cake with Orange Candle","插上橙色蜡烛的蛋糕"
"Orange Carpet","橙色地毯"
"Orange Concrete","橙色混凝土"
"Orange Concrete Powder","橙色混凝土粉末"
"Orange Glazed Terracotta","橙色带釉陶瓦"
"Orange Shulker Box","橙色潜影盒"
"Orange Stained Glass","橙色染色玻璃"
"Orange Stained Glass Pane","橙色染色玻璃板"
"Orange Terracotta","橙色陶瓦"
"Orange Tulip","橙色郁金香"
"Orange Wool","橙色羊毛"
"Oxeye Daisy","滨菊"
"Oxidized Chiseled Copper","氧化的雕纹铜块"
"Oxidized Copper","氧化的铜块"
"Oxidized Copper Bulb","氧化的铜灯"
"Oxidized Copper Door","氧化的铜门"
"Oxidized Copper Grate","氧化的铜格栅"
"Oxidized Copper Trapdoor","氧化的铜活板门"
"Oxidized Cut Copper","氧化的切制铜块"
"Oxidized Cut Copper Slab","氧化的切制铜台阶"
"Oxidized Cut Copper Stairs","氧化的切制铜楼梯"
"Packed Ice","浮冰"
"Packed Mud","泥坯"
"Pale Hanging Moss","苍白垂须"
"Pale Moss Block","苍白苔藓块"
"Pale Moss Carpet","苍白覆地苔藓"
"Pale Oak Button","苍白橡木按钮"
"Pale Oak Door","苍白橡木门"
"Pale Oak Fence","苍白橡木栅栏"
"Pale Oak Fence Gate","苍白橡木栅栏门"
"Pale Oak Hanging Sign","悬挂式苍白橡木告示牌"
"Pale Oak Leaves","苍白橡树树叶"
"Pale Oak Log","苍白橡木原木"
"Pale Oak Planks","苍白橡木木板"
"Pale Oak Pressure Plate","苍白橡木压力板"
"Pale Oak Sapling","苍白橡树树苗"
"Pale Oak Sign","苍白橡木告示牌"
"Pale Oak Slab","苍白橡木台阶"
"Pale Oak Stairs","苍白橡木楼梯"
"Pale Oak Trapdoor","苍白橡木活板门"
"Pale Oak Wall Hanging Sign","墙上的悬挂式苍白橡木告示牌"
"Pale Oak Wall Sign","墙上的苍白橡木告示牌"
"Pale Oak Wood","苍白橡木"
"Pearlescent Froglight","珠光蛙明灯"
"Peony","牡丹"
"Petrified Oak Slab","石化橡木台阶"
"Piglin Head","猪灵的头"
"Piglin Wall Head","墙上的猪灵的头"
"Pink Banner","粉红色旗帜"
"Pink Bed","粉红色床"
"Pink Candle","粉红色蜡烛"
"Cake with Pink Candle","插上粉红色蜡烛的蛋糕"
"Pink Carpet","粉红色地毯"
"Pink Concrete","粉红色混凝土"
"Pink Concrete Powder","粉红色混凝土粉末"
"Pink Glazed Terracotta","粉红色带釉陶瓦"
"Pink Petals","粉红色花簇"
"Pink Shulker Box","粉红色潜影盒"
"Pink Stained Glass","粉红色染色玻璃"
"Pink Stained Glass Pane","粉红色染色玻璃板"
"Pink Terracotta","粉红色陶瓦"
"Pink Tulip","粉红色郁金香"
"Pink Wool","粉红色羊毛"
"Piston","活塞"
"Piston Head","活塞头"
"Pitcher Crop","瓶子草植株"
"Pitcher Plant","瓶子草"
"Player Head","玩家的头"
"Player Wall Head","墙上的玩家的头"
"Podzol","灰化土"
"Pointed Dripstone","滴水石锥"
"Polished Andesite","磨制安山岩"
"Polished Andesite Slab","磨制安山岩台阶"
"Polished Andesite Stairs","磨制安山岩楼梯"
"Polished Basalt","磨制玄武岩"
"Polished Blackstone","磨制黑石"
"Polished Blackstone Brick Slab","磨制黑石砖台阶"
"Polished Blackstone Brick Stairs","磨制黑石砖楼梯"
"Polished Blackstone Brick Wall","磨制黑石砖墙"
"Polished Blackstone Bricks","磨制黑石砖"
"Polished Blackstone Button","磨制黑石按钮"
"Polished Blackstone Pressure Plate","磨制黑石压力板"
"Polished Blackstone Slab","磨制黑石台阶"
"Polished Blackstone Stairs","磨制黑石楼梯"
"Polished Blackstone Wall","磨制黑石墙"
"Polished Deepslate","磨制深板岩"
"Polished Deepslate Slab","磨制深板岩台阶"
"Polished Deepslate Stairs","磨制深板岩楼梯"
"Polished Deepslate Wall","磨制深板岩墙"
"Polished Diorite","磨制闪长岩"
"Polished Diorite Slab","磨制闪长岩台阶"
"Polished Diorite Stairs","磨制闪长岩楼梯"
"Polished Granite","磨制花岗岩"
"Polished Granite Slab","磨制花岗岩台阶"
"Polished Granite Stairs","磨制花岗岩楼梯"
"Polished Tuff","磨制凝灰岩"
"Polished Tuff Slab","磨制凝灰岩台阶"
"Polished Tuff Stairs","磨制凝灰岩楼梯"
"Polished Tuff Wall","磨制凝灰岩墙"
"Poppy","虞美人"
"Potatoes","马铃薯"
"Potted Acacia Sapling","金合欢树苗盆栽"
"Potted Allium","绒球葱盆栽"
"Potted Azalea","杜鹃花丛盆栽"
"Potted Azure Bluet","蓝花美耳草盆栽"
"Potted Bamboo","竹子盆栽"
"Potted Birch Sapling","白桦树苗盆栽"
"Potted Blue Orchid","兰花盆栽"
"Potted Brown Mushroom","棕色蘑菇盆栽"
"Potted Cactus","仙人掌盆栽"
"Potted Cherry Sapling","樱花树苗盆栽"
"Potted Closed Eyeblossom","闭合的眼眸花盆栽"
"Potted Cornflower","矢车菊盆栽"
"Potted Crimson Fungus","绯红菌盆栽"
"Potted Crimson Roots","绯红菌索盆栽"
"Potted Dandelion","蒲公英盆栽"
"Potted Dark Oak Sapling","深色橡树树苗盆栽"
"Potted Dead Bush","枯萎的灌木盆栽"
"Potted Fern","蕨盆栽"
"Potted Flowering Azalea","盛开的杜鹃花丛盆栽"
"Potted Jungle Sapling","丛林树苗盆栽"
"Potted Lily of the Valley","铃兰盆栽"
"Potted Mangrove Propagule","红树胎生苗盆栽"
"Potted Oak Sapling","橡树树苗盆栽"
"Potted Open Eyeblossom","张开的眼眸花盆栽"
"Potted Orange Tulip","橙色郁金香盆栽"
"Potted Oxeye Daisy","滨菊盆栽"
"Potted Pale Oak Sapling","苍白橡树树苗盆栽"
"Potted Pink Tulip","粉红色郁金香盆栽"
"Potted Poppy","虞美人盆栽"
"Potted Red Mushroom","红色蘑菇盆栽"
"Potted Red Tulip","红色郁金香盆栽"
"Potted Spruce Sapling","云杉树苗盆栽"
"Potted Torchflower","火把花盆栽"
"Potted Warped Fungus","诡异菌盆栽"
"Potted Warped Roots","诡异菌索盆栽"
"Potted White Tulip","白色郁金香盆栽"
"Potted Wither Rose","凋灵玫瑰盆栽"
"Powder Snow","细雪"
"Powder Snow Cauldron","装有细雪的炼药锅"
"Powered Rail","动力铁轨"
"Prismarine","海晶石"
"Prismarine Brick Slab","海晶石砖台阶"
"Prismarine Brick Stairs","海晶石砖楼梯"
"Prismarine Bricks","海晶石砖"
"Prismarine Slab","海晶石台阶"
"Prismarine Stairs","海晶石楼梯"
"Prismarine Wall","海晶石墙"
"Pumpkin","南瓜"
"Pumpkin Stem","南瓜茎"
"Purple Banner","紫色旗帜"
"Purple Bed","紫色床"
"Purple Candle","紫色蜡烛"
"Cake with Purple Candle","插上紫色蜡烛的蛋糕"
"Purple Carpet","紫色地毯"
"Purple Concrete","紫色混凝土"
"Purple Concrete Powder","紫色混凝土粉末"
"Purple Glazed Terracotta","紫色带釉陶瓦"
"Purple Shulker Box","紫色潜影盒"
"Purple Stained Glass","紫色染色玻璃"
"Purple Stained Glass Pane","紫色染色玻璃板"
"Purple Terracotta","紫色陶瓦"
"Purple Wool","紫色羊毛"
"Purpur Block","紫珀块"
"Purpur Pillar","紫珀柱"
"Purpur Slab","紫珀台阶"
"Purpur Stairs","紫珀楼梯"
"Block of Quartz","石英块"
"Quartz Bricks","石英砖"
"Quartz Pillar","石英柱"
"Quartz Slab","石英台阶"
"Quartz Stairs","石英楼梯"
"Rail","铁轨"
"Block of Raw Copper","粗铜块"
"Block of Raw Gold","粗金块"
"Block of Raw Iron","粗铁块"
"Red Banner","红色旗帜"
"Red Bed","红色床"
"Red Candle","红色蜡烛"
"Cake with Red Candle","插上红色蜡烛的蛋糕"
"Red Carpet","红色地毯"
"Red Concrete","红色混凝土"
"Red Concrete Powder","红色混凝土粉末"
"Red Glazed Terracotta","红色带釉陶瓦"
"Red Mushroom","红色蘑菇"
"Red Mushroom Block","红色蘑菇方块"
"Red Nether Brick Slab","红色下界砖台阶"
"Red Nether Brick Stairs","红色下界砖楼梯"
"Red Nether Brick Wall","红色下界砖墙"
"Red Nether Bricks","红色下界砖块"
"Red Sand","红沙"
"Red Sandstone","红砂岩"
"Red Sandstone Slab","红砂岩台阶"
"Red Sandstone Stairs","红砂岩楼梯"
"Red Sandstone Wall","红砂岩墙"
"Red Shulker Box","红色潜影盒"
"Red Stained Glass","红色染色玻璃"
"Red Stained Glass Pane","红色染色玻璃板"
"Red Terracotta","红色陶瓦"
"Red Tulip","红色郁金香"
"Red Wool","红色羊毛"
"Block of Redstone","红石块"
"Redstone Lamp","红石灯"
"Redstone Ore","红石矿石"
"Redstone Torch","红石火把"
"Redstone Wall Torch","墙上的红石火把"
"Redstone Wire","红石线"
"Reinforced Deepslate","强化深板岩"
"Redstone Repeater","红石中继器"
"Repeating Command Block","循环型命令方块"
"Block of Resin","树脂块"
"Resin Brick Slab","树脂砖台阶"
"Resin Brick Stairs","树脂砖楼梯"
"Resin Brick Wall","树脂砖墙"
"Resin Bricks","树脂砖块"
"Resin Clump","树脂团"
"Respawn Anchor","重生锚"
"Rooted Dirt","缠根泥土"
"Rose Bush","玫瑰丛"
"Sand","沙子"
"Sandstone","砂岩"
"Sandstone Slab","砂岩台阶"
"Sandstone Stairs","砂岩楼梯"
"Sandstone Wall","砂岩墙"
"Scaffolding","脚手架"
"Sculk","幽匿块"
"Sculk Catalyst","幽匿催发体"
"Sculk Sensor","幽匿感测体"
"Sculk Shrieker","幽匿尖啸体"
"Sculk Vein","幽匿脉络"
"Sea Lantern","海晶灯"
"Sea Pickle","海泡菜"
"Seagrass","海草"
"Respawn point set","已设置重生点"
"Short Dry Grass","矮枯草丛"
"Short Grass","矮草丛"
"Shroomlight","菌光体"
"Shulker Box","潜影盒"
"Skeleton Skull","骷髅头颅"
"Skeleton Wall Skull","墙上的骷髅头颅"
"Slime Block","黏液块"
"Small Amethyst Bud","小型紫晶芽"
"Small Dripleaf","小型垂滴叶"
"Smithing Table","锻造台"
"Smoker","烟熏炉"
"Smooth Basalt","平滑玄武岩"
"Smooth Quartz Block","平滑石英块"
"Smooth Quartz Slab","平滑石英台阶"
"Smooth Quartz Stairs","平滑石英楼梯"
"Smooth Red Sandstone","平滑红砂岩"
"Smooth Red Sandstone Slab","平滑红砂岩台阶"
"Smooth Red Sandstone Stairs","平滑红砂岩楼梯"
"Smooth Sandstone","平滑砂岩"
"Smooth Sandstone Slab","平滑砂岩台阶"
"Smooth Sandstone Stairs","平滑砂岩楼梯"
"Smooth Stone","平滑石头"
"Smooth Stone Slab","平滑石头台阶"
"Sniffer Egg","嗅探兽蛋"
"Snow","雪"
"Snow Block","雪块"
"Soul Campfire","灵魂营火"
"Soul Fire","灵魂火"
"Soul Lantern","灵魂灯笼"
"Soul Sand","灵魂沙"
"Soul Soil","灵魂土"
"Soul Torch","灵魂火把"
"Soul Wall Torch","墙上的灵魂火把"
"You have no home bed or charged respawn anchor, or it was obstructed","你的床或已充能的重生锚不存在或已被阻挡"
"Monster Spawner","刷怪笼"
"Interact with Spawn Egg:","用刷怪蛋交互时："
"Sets Mob Type","设置生物种类"
"Sponge","海绵"
"Spore Blossom","孢子花"
"Spruce Button","云杉木按钮"
"Spruce Door","云杉木门"
"Spruce Fence","云杉木栅栏"
"Spruce Fence Gate","云杉木栅栏门"
"Spruce Hanging Sign","悬挂式云杉木告示牌"
"Spruce Leaves","云杉树叶"
"Spruce Log","云杉原木"
"Spruce Planks","云杉木板"
"Spruce Pressure Plate","云杉木压力板"
"Spruce Sapling","云杉树苗"
"Spruce Sign","云杉木告示牌"
"Spruce Slab","云杉木台阶"
"Spruce Stairs","云杉木楼梯"
"Spruce Trapdoor","云杉木活板门"
"Spruce Wall Hanging Sign","墙上的悬挂式云杉木告示牌"
"Spruce Wall Sign","墙上的云杉木告示牌"
"Spruce Wood","云杉木"
"Sticky Piston","黏性活塞"
"Stone","石头"
"Stone Brick Slab","石砖台阶"
"Stone Brick Stairs","石砖楼梯"
"Stone Brick Wall","石砖墙"
"Stone Bricks","石砖"
"Stone Button","石头按钮"
"Stone Pressure Plate","石头压力板"
"Stone Slab","石头台阶"
"Stone Stairs","石头楼梯"
"Stonecutter","切石机"
"Stripped Acacia Log","去皮金合欢原木"
"Stripped Acacia Wood","去皮金合欢木"
"Block of Stripped Bamboo","去皮竹块"
"Stripped Birch Log","去皮白桦原木"
"Stripped Birch Wood","去皮白桦木"
"Stripped Cherry Log","去皮樱花原木"
"Stripped Cherry Wood","去皮樱花木"
"Stripped Crimson Hyphae","去皮绯红菌核"
"Stripped Crimson Stem","去皮绯红菌柄"
"Stripped Dark Oak Log","去皮深色橡木原木"
"Stripped Dark Oak Wood","去皮深色橡木"
"Stripped Jungle Log","去皮丛林原木"
"Stripped Jungle Wood","去皮丛林木"
"Stripped Mangrove Log","去皮红树原木"
"Stripped Mangrove Wood","去皮红树木"
"Stripped Oak Log","去皮橡木原木"
"Stripped Oak Wood","去皮橡木"
"Stripped Pale Oak Log","去皮苍白橡木原木"
"Stripped Pale Oak Wood","去皮苍白橡木"
"Stripped Spruce Log","去皮云杉原木"
"Stripped Spruce Wood","去皮云杉木"
"Stripped Warped Hyphae","去皮诡异菌核"
"Stripped Warped Stem","去皮诡异菌柄"
"Structure Block","结构方块"
"Structure Void","结构空位"
"Sugar Cane","甘蔗"
"Sunflower","向日葵"
"Suspicious Gravel","可疑的沙砾"
"Suspicious Sand","可疑的沙子"
"Sweet Berry Bush","甜浆果丛"
"Tall Dry Grass","高枯草丛"
"Tall Grass","高草丛"
"Tall Seagrass","高海草"
"Target","标靶"
"Terracotta","陶瓦"
"Test Block","测试方块"
"Test Instance Block","测试实例方块"
"Tinted Glass","遮光玻璃"
"TNT","TNT"
"TNT explosions are disabled","TNT爆炸已禁用"
"Torch","火把"
"Torchflower","火把花"
"Torchflower Crop","火把花植株"
"Trapped Chest","陷阱箱"
"Trial Spawner","试炼刷怪笼"
"Tripwire","绊线"
"Tripwire Hook","绊线钩"
"Tube Coral","管珊瑚"
"Tube Coral Block","管珊瑚块"
"Tube Coral Fan","管珊瑚扇"
"Tube Coral Wall Fan","墙上的管珊瑚扇"
"Tuff","凝灰岩"
"Tuff Brick Slab","凝灰岩砖台阶"
"Tuff Brick Stairs","凝灰岩砖楼梯"
"Tuff Brick Wall","凝灰岩砖墙"
"Tuff Bricks","凝灰岩砖"
"Tuff Slab","凝灰岩台阶"
"Tuff Stairs","凝灰岩楼梯"
"Tuff Wall","凝灰岩墙"
"Turtle Egg","海龟蛋"
"Twisting Vines","缠怨藤"
"Twisting Vines Plant","缠怨藤植株"
"Vault","宝库"
"Verdant Froglight","青翠蛙明灯"
"Vines","藤蔓"
"Void Air","虚空空气"
"Wall Torch","墙上的火把"
"Warped Button","诡异木按钮"
"Warped Door","诡异木门"
"Warped Fence","诡异木栅栏"
"Warped Fence Gate","诡异木栅栏门"
"Warped Fungus","诡异菌"
"Warped Hanging Sign","悬挂式诡异木告示牌"
"Warped Hyphae","诡异菌核"
"Warped Nylium","诡异菌岩"
"Warped Planks","诡异木板"
"Warped Pressure Plate","诡异木压力板"
"Warped Roots","诡异菌索"
"Warped Sign","诡异木告示牌"
"Warped Slab","诡异木台阶"
"Warped Stairs","诡异木楼梯"
"Warped Stem","诡异菌柄"
"Warped Trapdoor","诡异木活板门"
"Warped Wall Hanging Sign","墙上的悬挂式诡异木告示牌"
"Warped Wall Sign","墙上的诡异木告示牌"
"Warped Wart Block","诡异疣块"
"Water","水"
"Water Cauldron","装有水的炼药锅"
"Waxed Chiseled Copper","涂蜡的雕纹铜块"
"Waxed Block of Copper","涂蜡的铜块"
"Waxed Copper Bulb","涂蜡的铜灯"
"Waxed Copper Door","涂蜡的铜门"
"Waxed Copper Grate","涂蜡的铜格栅"
"Waxed Copper Trapdoor","涂蜡的铜活板门"
"Waxed Cut Copper","涂蜡的切制铜块"
"Waxed Cut Copper Slab","涂蜡的切制铜台阶"
"Waxed Cut Copper Stairs","涂蜡的切制铜楼梯"
"Waxed Exposed Chiseled Copper","涂蜡的斑驳雕纹铜块"
"Waxed Exposed Copper","涂蜡的斑驳铜块"
"Waxed Exposed Copper Bulb","涂蜡的斑驳铜灯"
"Waxed Exposed Copper Door","涂蜡的斑驳铜门"
"Waxed Exposed Copper Grate","涂蜡的斑驳铜格栅"
"Waxed Exposed Copper Trapdoor","涂蜡的斑驳铜活板门"
"Waxed Exposed Cut Copper","涂蜡的斑驳切制铜块"
"Waxed Exposed Cut Copper Slab","涂蜡的斑驳切制铜台阶"
"Waxed Exposed Cut Copper Stairs","涂蜡的斑驳切制铜楼梯"
"Waxed Oxidized Chiseled Copper","涂蜡的氧化雕纹铜块"
"Waxed Oxidized Copper","涂蜡的氧化铜块"
"Waxed Oxidized Copper Bulb","涂蜡的氧化铜灯"
"Waxed Oxidized Copper Door","涂蜡的氧化铜门"
"Waxed Oxidized Copper Grate","涂蜡的氧化铜格栅"
"Waxed Oxidized Copper Trapdoor","涂蜡的氧化铜活板门"
"Waxed Oxidized Cut Copper","涂蜡的氧化切制铜块"
"Waxed Oxidized Cut Copper Slab","涂蜡的氧化切制铜台阶"
"Waxed Oxidized Cut Copper Stairs","涂蜡的氧化切制铜楼梯"
"Waxed Weathered Chiseled Copper","涂蜡的锈蚀雕纹铜块"
"Waxed Weathered Copper","涂蜡的锈蚀铜块"
"Waxed Weathered Copper Bulb","涂蜡的锈蚀铜灯"
"Waxed Weathered Copper Door","涂蜡的锈蚀铜门"
"Waxed Weathered Copper Grate","涂蜡的锈蚀铜格栅"
"Waxed Weathered Copper Trapdoor","涂蜡的锈蚀铜活板门"
"Waxed Weathered Cut Copper","涂蜡的锈蚀切制铜块"
"Waxed Weathered Cut Copper Slab","涂蜡的锈蚀切制铜台阶"
"Waxed Weathered Cut Copper Stairs","涂蜡的锈蚀切制铜楼梯"
"Weathered Chiseled Copper","锈蚀的雕纹铜块"
"Weathered Copper","锈蚀的铜块"
"Weathered Copper Bulb","锈蚀的铜灯"
"Weathered Copper Door","锈蚀的铜门"
"Weathered Copper Grate","锈蚀的铜格栅"
"Weathered Copper Trapdoor","锈蚀的铜活板门"
"Weathered Cut Copper","锈蚀的切制铜块"
"Weathered Cut Copper Slab","锈蚀的切制铜台阶"
"Weathered Cut Copper Stairs","锈蚀的切制铜楼梯"
"Weeping Vines","垂泪藤"
"Weeping Vines Plant","垂泪藤植株"
"Wet Sponge","湿海绵"
"Wheat Crops","小麦植株"
"White Banner","白色旗帜"
"White Bed","白色床"
"White Candle","白色蜡烛"
"Cake with White Candle","插上白色蜡烛的蛋糕"
"White Carpet","白色地毯"
"White Concrete","白色混凝土"
"White Concrete Powder","白色混凝土粉末"
"White Glazed Terracotta","白色带釉陶瓦"
"White Shulker Box","白色潜影盒"
"White Stained Glass","白色染色玻璃"
"White Stained Glass Pane","白色染色玻璃板"
"White Terracotta","白色陶瓦"
"White Tulip","白色郁金香"
"White Wool","白色羊毛"
"Wildflowers","野花簇"
"Wither Rose","凋灵玫瑰"
"Wither Skeleton Skull","凋灵骷髅头颅"
"Wither Skeleton Wall Skull","墙上的凋灵骷髅头颅"
"Yellow Banner","黄色旗帜"
"Yellow Bed","黄色床"
"Yellow Candle","黄色蜡烛"
"Cake with Yellow Candle","插上黄色蜡烛的蛋糕"
"Yellow Carpet","黄色地毯"
"Yellow Concrete","黄色混凝土"
"Yellow Concrete Powder","黄色混凝土粉末"
"Yellow Glazed Terracotta","黄色带釉陶瓦"
"Yellow Shulker Box","黄色潜影盒"
"Yellow Stained Glass","黄色染色玻璃"
"Yellow Stained Glass Pane","黄色染色玻璃板"
"Yellow Terracotta","黄色陶瓦"
"Yellow Wool","黄色羊毛"
"Zombie Head","僵尸的头"
"Zombie Wall Head","墙上的僵尸的头"
"Absorption","伤害吸收"
"Bad Omen","不祥之兆"
"Blindness","失明"
"Conduit Power","潮涌能量"
"Darkness","黑暗"
"Dolphin's Grace","海豚的恩惠"
"Fire Resistance","抗火"
"Glowing","发光"
"Haste","急迫"
"Health Boost","生命提升"
"Hero of the Village","村庄英雄"
"Hunger","饥饿"
"Infested","寄生"
"Instant Damage","瞬间伤害"
"Instant Health","瞬间治疗"
"Invisibility","隐身"
"Jump Boost","跳跃提升"
"Levitation","飘浮"
"Luck","幸运"
"Mining Fatigue","挖掘疲劳"
"Nausea","反胃"
"Night Vision","夜视"
"Oozing","渗浆"
"Poison","中毒"
"Raid Omen","袭击之兆"
"Regeneration","生命恢复"
"Resistance","抗性提升"
"Saturation","饱和"
"Slow Falling","缓降"
"Slowness","缓慢"
"Speed","迅捷"
"Strength","力量"
"Trial Omen","试炼之兆"
"Bad Luck","霉运"
"Water Breathing","水下呼吸"
"Weakness","虚弱"
"Weaving","盘丝"
"Wind Charged","蓄风"
"Wither","凋零"
"No Effects","无效果"
"Aqua Affinity","水下速掘"
"Bane of Arthropods","节肢杀手"
"Curse of Binding","绑定诅咒"
"Blast Protection","爆炸保护"
"Breach","破甲"
"Channeling","引雷"
"Density","致密"
"Depth Strider","深海探索者"
"Efficiency","效率"
"Feather Falling","摔落缓冲"
"Fire Aspect","火焰附加"
